epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,429.878,0.43551,12.1403,0.69266,0.45002,0.30556,0.15794,0.04736,0.46801,1.93335,0.97065,0.000331224,0.000331224,0.000331224
2,1111.58,0.34609,0.81701,0.62384,0.77681,0.84839,0.82923,0.33202,0.64346,0.67759,1.50412,0.000598766,0.000598766,0.000598766
3,1631.77,0.30687,0.6413,0.55119,0.8546,0.81667,0.81977,0.3708,0.60638,0.66207,1.40846,0.000800308,0.000800308,0.000800308
4,2234.86,0.28671,0.59957,0.52209,0.86198,0.89177,0.87908,0.35332,0.62183,0.65031,1.4599,0.000703,0.000703,0.000703
5,2673.87,0.27882,0.49773,0.50164,0.88564,0.88333,0.90278,0.43321,0.55857,0.62171,1.29878,0.000604,0.000604,0.000604
6,3352.6,0.25741,0.46512,0.46957,0.92301,0.93333,0.92547,0.31376,0.69058,0.62375,1.69288,0.000505,0.000505,0.000505
7,3924.94,0.25905,0.42987,0.48567,0.91136,0.92477,0.93141,0.45436,0.54729,0.5737,1.25331,0.000406,0.000406,0.000406
8,4629.34,0.23072,0.40053,0.42363,0.93257,0.90555,0.91835,0.5939,0.40501,0.55004,0.83576,0.000307,0.000307,0.000307
9,5119.31,0.24516,0.39291,0.43789,0.9343,0.925,0.92896,0.56927,0.42116,0.53799,0.87277,0.000208,0.000208,0.000208
10,5823.65,0.23669,0.34557,0.43149,0.94526,0.93498,0.9455,0.51468,0.49286,0.5526,1.09035,0.000109,0.000109,0.000109
